Latitude,Longitude,Elevation,Reading,Diurnal correction,MAG_DIUR,
16.267,77.721,263.78,42430,3,42433,
16.356,77.716,258.91,42429,,,
16.351,77.693,273.61,42429,,,
16.356,77.716,258.91,42428,,,
16.437,77.698,250.2,42428,0.4,42428.4,
16.269,77.722,271,42428,2,42430,
16.344,77.695,263.02,42427,0.2,42426.8,
16.351,77.693,273.61,42426,,,
16.351,77.693,273.61,42426,,,
16.426,77.708,262.34,42426,1.8,42427.8,
16.261,77.717,262.5,42426,1,42427,
16.356,77.716,258.91,42424,,,
16.389,77.694,244.62,42424,1.6,42422.4,
16.346,77.694,262.41,42424,0.7,42423.3,
16.423,77.707,263.41,42424,0,42424,
16.267,77.719,256.61,42424,0.6,42424.6,
16.356,77.716,258.91,42423,,,
16.351,77.693,273.61,42423,,,
16.351,77.693,273.61,42422,,,
16.351,77.693,273.61,42421,,,
16.351,77.693,273.61,42421,,,
16.389,77.702,259.67,42421,0.5,42420.5,
16.351,77.693,273.61,42421,,,
16.351,77.693,273.61,42418,,,
16.422,77.707,262.64,42417,0,42417,
16.328,77.698,263.21,42416,0.4,42415.6,
16.411,77.705,259.03,42416,3,42413,
16.392,77.703,264.17,42415,0.6,42414.4,
16.266,77.719,257.9,42415,4.5,42419.5,
16.374,77.693,246.69,42414,0.2,42413.8,
16.429,77.709,264.43,42413,7.2,42420.2,
16.266,77.719,256.53,42411,0.2,42411.2,
16.259,77.717,265.95,42411,5,42416,
16.281,77.732,268.51,42410,6.53,42403.48,
16.339,77.711,255.8,42409,-1.2,42410.2,
16.347,77.697,267.49,42409,0,42409,
16.373,77.692,245.83,42408,0.6,42407.4,
16.374,77.7,261.52,42407,0.9,42406.1,
16.389,77.713,267.76,42407,1.6,42408.6,
16.395,77.704,262.9,42406,1.4,42407.4,
16.267,77.72,262.48,42406,3.5,42409.5,
16.352,77.716,260.56,42405,2.12,42402.88,
16.386,77.701,261.16,42404,0.3,42403.7,
