Name on GPS,Latitude,Longitude,Elevation,mag-dir
w5,16.2909108,77.7008643,261.631,42520
w6,16.2919796,77.7011705,259.641,42560
w7,16.2927425,77.7013932,261.844,42531
w8,16.2936174,77.7016317,260.603,42441
x1,16.2741845,77.6939528,275.08,42369.8
x2,16.2740132,77.6950684,272.208,42388
x3,16.2739528,77.6960791,268.78,42389
x4,16.2741301,77.6966621,265.822,42388
x5,16.2747141,77.6968147,267.494,42409
x6,16.274952,77.6972902,269.254,42401
x7,16.2752187,77.6977524,266.8,42400
x8,16.2755085,77.6982459,265.837,42383.8
x9,16.2758942,77.6986131,267.434,42372.7
x10,16.27632,77.6991464,265.662,42295.5
x11,16.276635,77.6995908,262.91,42311.4
x12,16.2770051,77.6999479,261.75,42371.3
x13,16.277398,77.7002523,261.522,42406.1
x14,16.2778933,77.7006755,263.923,42321
x15,16.2782155,77.7010737,261.146,42395.9
x16,16.2786364,77.7014911,261.159,42403.7
x17,16.2788994,77.7019721,259.675,42420.5
x18,16.2791569,77.7028212,264.169,42414.4
x19,16.2793049,77.7033428,259.825,42429.1
x20,16.2795153,77.703672,262.905,42407.4
x21,16.2799842,77.7038332,260.211,42441.8
x22,16.2802025,77.7042506,264.53,42451
x23,16.2807216,77.704669,260.144,42446.5
x24,16.2810551,77.7048889,259.032,42413
x25,16.2816092,77.7048409,256.197,42426
x26,16.2823278,77.7052857,256.377,42452
x27,16.2824766,77.7058837,258.658,42344
x28,16.28223,77.7067838,262.636,42417
x29,16.28233,77.7073581,263.413,42424
x30,16.2826006,77.7076963,262.66,42427.8
x31,16.2827579,77.7081693,264.338,42433.6
x32,16.2828499,77.7086897,264.425,42420.2
z1,16.2512376,77.7255728,263.388,42451.4
z2,16.2513464,77.7250554,261.986,42458.3
z3,16.2513922,77.7245919,267.07,42449.2
z4,16.2517358,77.7242416,272.813,42445.1
z5,16.2520203,77.7239059,272.391,42447
z6,16.2522279,77.7232961,268.33,42441.5
z6,16.2521926,77.7228495,265.543,42438.5
z7,16.2520341,77.7224084,263.093,42430
z8,16.2518813,77.7219335,271.073,42432.5
z9,16.251792,77.7213761,270.395,42433
z10,16.2517339,77.7208353,263.784,42409.5
z11,16.2517071,77.7203323,262.476,42380
z12,16.2516753,77.7197851,261.912,42419.5
z13,16.2515704,77.719301,257.901,42411.2
z14,16.2515811,77.7189022,256.526,42424.6
z15,16.2515424,77.7182082,264.716,42436.2
z16,16.2513645,77.7176334,262.629,42429
z17,16.2511376,77.7172538,262.497,42427
z18,16.2509004,77.716838,265.95,42416
z19,16.2506918,77.7164718,262.824,42381
z20,16.2504957,77.7161174,264.118,42369
z21,16.2503131,77.7157834,264.076,42384
z22,16.2500612,77.7152955,267.273,42381
z23,16.2498311,77.7149573,267.377,42316
z24,16.2496061,77.7145919,262.831,42314.4
z25,16.2494145,77.7142111,266.447,42158.8
z26,16.2492069,77.7138841,273.643,42596.2
z27,16.2489275,77.7134864,267.761,42408.6
z28,16.24875,77.7130942,265.703,42382
z29,16.2486766,77.7128899,267.45,42371.4
,0,0,260,42422.4
U2,16.3082374,77.6945449,246.634,42452.6
U3,16.3073547,77.6941783,248.027,42434.2
U4,16.3074026,77.6932365,246.692,42413.8
u5,16.3072794,77.69222,245.832,42407.4
u6,16.3069128,77.6912154,243.88,42431.1
u7,16.3064714,77.6896044,241.749,42397.92
U8,16.3056919,77.689545,242.155,42443.92
u9,16.3050295,77.6888998,245.44,42428.98
u10,16.30482028,77.68802306,245.5,42470.04
u11,16.30421389,77.68706139,249.51,42368.4
