Rank,Name on GPS,Latitude,Longitude,Elevation,mag-dirurnal correction
133,z11,16.2517071,77.7203323,262.476,42380
134,z12,16.2516753,77.7197851,261.912,42419.5
135,z13,16.2515704,77.719301,257.901,42411.2
136,z14,16.2515811,77.7189022,256.526,42424.6
138,z15,16.2515424,77.7182082,264.716,42436.2
139,z16,16.2513645,77.7176334,262.629,42429
140,z17,16.2511376,77.7172538,262.497,42427
141,z18,16.2509004,77.716838,265.95,42416
142,z19,16.2506918,77.7164718,262.824,42381
143,z20,16.2504957,77.7161174,264.118,42369
144,z21,16.2503131,77.7157834,264.076,42384
145,z22,16.2500612,77.7152955,267.273,42381
146,z23,16.2498311,77.7149573,267.377,42316
147,z24,16.2496061,77.7145919,262.831,42314.4
148,z25,16.2494145,77.7142111,266.447,42158.8
149,z26,16.2492069,77.7138841,273.643,42596.2
150,z27,16.2489275,77.7134864,267.761,42408.6
151,z28,16.24875,77.7130942,265.703,42382
152,z29,16.2486766,77.7128899,267.45,42371.4
153,U2,16.3082374,77.6945449,246.634,42452.6
154,U3,16.3073547,77.6941783,248.027,42434.2
155,U4,16.3074026,77.6932365,246.692,42413.8
156,u5,16.3072794,77.69222,245.832,42407.4
157,u6,16.3069128,77.6912154,243.88,42431.1
158,u7,16.3064714,77.6896044,241.749,42397.92
159,U8,16.3056919,77.689545,242.155,42443.92
160,u9,16.3050295,77.6888998,245.44,42428.98
,u10,16.30482028,77.68802306,245.5,42470.04
,u11,16.30421389,77.68706139,249.51,42368.4
,u12,16.30367056,77.68607861,254.2,42359.6
,u13,16.30333917,77.68556417,248.39,42384
,u14,16.30258333,77.68564278,246.37,42384.2
161,w9,16.2945281,77.7017424,258.22,42452.9
162,w10,16.2953188,77.7017564,259.164,42622.75
163,w11,16.2964896,77.7018758,254.795,42581.5
164,w12,16.2975379,77.7020197,251.745,42241
165,w13,16.2984692,77.7021986,249.378,42267.6
166,w14,16.2994956,77.7025002,244.524,42489.7
167,w15,16.3004193,77.7027951,236.066,42461.2
168,w16,16.3014293,77.7030858,238.642,42475.6
169,w17,16.3023091,77.703355,237.209,42452.2
170,w18,16.3034577,77.7036592,242.088,42499.6
171,w19,16.3045051,77.70385,240.128,42480.9
172,w20,16.3054497,77.7039334,236.353,42270.6
173,y1,16.2997119,77.7023463,246.612,42445.4
174,y2,16.2995903,77.7017602,246.998,42463
175,y3,16.2994953,77.7012556,247.422,42466
176,y4,16.2991299,77.7007283,245.055,42471.2
177,y5,16.2990661,77.700214,247.143,42475.6
178,y6,16.2989567,77.6995887,245.814,42481
179,y7,16.2988468,77.698897,247.11,42452.2
180,y8,16.298748,77.6983438,250.2,42428.4
181,y9,16.2986029,77.6977979,252.812,42289.9
182,y10,16.2983235,77.6974301,252.603,42444.4
183,y10,16.2984687,77.6968402,250.124,42457
184,y12,16.2987541,77.6961734,249.048,42443.8
185,y13,16.2987703,77.6957802,252.496,42441.2
186,y14,16.2988521,77.6953473,251.326,42446
187,y15,16.2990063,77.6948513,250.547,42455.6
